Station information:,,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,,
"Auckland, Motat Ews",41351,A6487G,-36.86297,174.71185,16,H,Niwa,,,,,
"Wellington, Kelburn Aws",25354,E1427P,-41.28445,174.76794,125,H,Metservice,,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,,
,,,,,,,,,,,,
Surface Wind: Wind Run (Km),,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Dir(DegT),WindRUN(km),Dir StdDev,Spd StdDev,Period(Hrs),Freq,,,,
"Auckland, Motat Ews",27/03/2017,8,-,344,-,-,24,D,,,,
"Wellington, Kelburn Aws",27/03/2017,8,-,150,-,-,24,D,,,,
"Auckland, Motat Ews",28/03/2017,8,-,142,-,-,24,D,,,,
"Wellington, Kelburn Aws",28/03/2017,8,-,641,-,-,24,D,,,,
"Auckland, Motat Ews",29/03/2017,8,-,176,-,-,24,D,,,,
"Wellington, Kelburn Aws",29/03/2017,8,-,325,-,-,24,D,,,,
"Auckland, Motat Ews",30/03/2017,8,-,227,-,-,24,D,,,,
"Wellington, Kelburn Aws",30/03/2017,8,-,463,-,-,24,D,,,,
"Auckland, Motat Ews",31/03/2017,8,-,145,-,-,24,D,,,,
"Wellington, Kelburn Aws",31/03/2017,8,-,516,-,-,24,D,,,,
"Auckland, Motat Ews",1/04/2017,8,-,146,-,-,24,D,,,,
"Wellington, Kelburn Aws",1/04/2017,8,-,607,-,-,24,D,,,,
"Auckland, Motat Ews",2/04/2017,9,-,141,-,-,24,D,,,,
"Wellington, Kelburn Aws",2/04/2017,9,-,444,-,-,24,D,,,,
"Auckland, Motat Ews",3/04/2017,9,-,173,-,-,24,D,,,,
"Wellington, Kelburn Aws",3/04/2017,9,-,500,-,-,24,D,,,,
"Auckland, Motat Ews",4/04/2017,9,-,216,-,-,24,D,,,,
"Wellington, Kelburn Aws",4/04/2017,9,-,598,-,-,24,D,,,,
"Auckland, Motat Ews",5/04/2017,9,-,365,-,-,24,D,,,,
"Wellington, Kelburn Aws",5/04/2017,9,-,592,-,-,24,D,,,,
"Auckland, Motat Ews",6/04/2017,9,-,312,-,-,24,D,,,,
"Wellington, Kelburn Aws",6/04/2017,9,-,727,-,-,24,D,,,,
"Auckland, Motat Ews",7/04/2017,9,-,278,-,-,24,D,,,,
"Wellington, Kelburn Aws",7/04/2017,9,-,378,-,-,24,D,,,,
"Auckland, Motat Ews",8/04/2017,9,-,190,-,-,24,D,,,,
"Wellington, Kelburn Aws",8/04/2017,9,-,401,-,-,24,D,,,,
"Auckland, Motat Ews",9/04/2017,9,-,194,-,-,24,D,,,,
"Wellington, Kelburn Aws",9/04/2017,9,-,146,-,-,24,D,,,,
"Auckland, Motat Ews",10/04/2017,9,-,242,-,-,24,D,,,,
"Wellington, Kelburn Aws",10/04/2017,9,-,166,-,-,24,D,,,,
"Auckland, Motat Ews",11/04/2017,9,-,285,-,-,24,D,,,,
"Wellington, Kelburn Aws",11/04/2017,9,-,308,-,-,24,D,,,,
"Auckland, Motat Ews",12/04/2017,9,-,407,-,-,24,D,,,,
"Wellington, Kelburn Aws",12/04/2017,9,-,367,-,-,24,D,,,,
"Auckland, Motat Ews",13/04/2017,9,-,346,-,-,24,D,,,,
"Wellington, Kelburn Aws",13/04/2017,9,-,271,-,-,24,D,,,,
"Auckland, Motat Ews",14/04/2017,9,-,237,-,-,24,D,,,,
"Wellington, Kelburn Aws",14/04/2017,9,-,540,-,-,24,D,,,,
"Auckland, Motat Ews",15/04/2017,9,-,317,-,-,24,D,,,,
"Wellington, Kelburn Aws",15/04/2017,9,-,483,-,-,24,D,,,,
"Auckland, Motat Ews",16/04/2017,9,-,218,-,-,24,D,,,,
"Wellington, Kelburn Aws",16/04/2017,9,-,482,-,-,24,D,,,,
"Auckland, Motat Ews",17/04/2017,9,-,242,-,-,24,D,,,,
"Wellington, Kelburn Aws",17/04/2017,9,-,356,-,-,24,D,,,,
"Auckland, Motat Ews",18/04/2017,9,-,204,-,-,24,D,,,,
"Wellington, Kelburn Aws",18/04/2017,9,-,360,-,-,24,D,,,,
"Auckland, Motat Ews",19/04/2017,9,-,140,-,-,24,D,,,,
"Wellington, Kelburn Aws",19/04/2017,9,-,249,-,-,24,D,,,,
"Auckland, Motat Ews",20/04/2017,9,-,178,-,-,24,D,,,,
"Wellington, Kelburn Aws",20/04/2017,9,-,262,-,-,24,D,,,,
"Auckland, Motat Ews",21/04/2017,9,-,211,-,-,24,D,,,,
"Wellington, Kelburn Aws",21/04/2017,9,-,392,-,-,24,D,,,,
"Auckland, Motat Ews",22/04/2017,9,-,127,-,-,24,D,,,,
"Wellington, Kelburn Aws",22/04/2017,9,-,272,-,-,24,D,,,,
"Auckland, Motat Ews",23/04/2017,9,-,140,-,-,24,D,,,,
"Wellington, Kelburn Aws",23/04/2017,9,-,197,-,-,24,D,,,,
"Auckland, Motat Ews",24/04/2017,9,-,270,-,-,24,D,,,,
"Wellington, Kelburn Aws",24/04/2017,9,-,250,-,-,24,D,,,,
"Auckland, Motat Ews",25/04/2017,9,-,216,-,-,24,D,,,,
"Wellington, Kelburn Aws",25/04/2017,9,-,294,-,-,24,D,,,,
"Auckland, Motat Ews",26/04/2017,9,-,106,-,-,24,D,,,,
"Wellington, Kelburn Aws",26/04/2017,9,-,199,-,-,24,D,,,,
"Auckland, Motat Ews",27/04/2017,9,-,92,-,-,24,D,,,,
"Wellington, Kelburn Aws",27/04/2017,9,-,312,-,-,24,D,,,,
"Auckland, Motat Ews",28/04/2017,9,-,111,-,-,24,D,,,,
"Wellington, Kelburn Aws",28/04/2017,9,-,401,-,-,24,D,,,,
"Auckland, Motat Ews",29/04/2017,9,-,164,-,-,24,D,,,,
"Wellington, Kelburn Aws",29/04/2017,9,-,423,-,-,24,D,,,,
"Auckland, Motat Ews",30/04/2017,9,-,212,-,-,24,D,,,,
"Wellington, Kelburn Aws",30/04/2017,9,-,320,-,-,24,D,,,,
"Auckland, Motat Ews",1/05/2017,9,-,384,-,-,24,D,,,,
"Wellington, Kelburn Aws",1/05/2017,9,-,839,-,-,24,D,,,,
"Auckland, Motat Ews",2/05/2017,9,-,278,-,-,24,D,,,,
"Wellington, Kelburn Aws",2/05/2017,9,-,408,-,-,24,D,,,,
"Auckland, Motat Ews",3/05/2017,9,-,127,-,-,24,D,,,,
"Wellington, Kelburn Aws",3/05/2017,9,-,586,-,-,24,D,,,,
"Auckland, Motat Ews",4/05/2017,9,-,225,-,-,24,D,,,,
"Wellington, Kelburn Aws",4/05/2017,9,-,728,-,-,24,D,,,,
"Auckland, Motat Ews",5/05/2017,9,-,370,-,-,24,D,,,,
"Wellington, Kelburn Aws",5/05/2017,9,-,361,-,-,24,D,,,,
"Auckland, Motat Ews",6/05/2017,9,-,170,-,-,24,D,,,,
"Wellington, Kelburn Aws",6/05/2017,9,-,190,-,-,24,D,,,,
"Auckland, Motat Ews",7/05/2017,9,-,117,-,-,24,D,,,,
"Wellington, Kelburn Aws",7/05/2017,9,-,192,-,-,24,D,,,,
"Auckland, Motat Ews",8/05/2017,9,-,84,-,-,24,D,,,,
"Wellington, Kelburn Aws",8/05/2017,9,-,245,-,-,24,D,,,,
"Auckland, Motat Ews",9/05/2017,9,-,86,-,-,24,D,,,,
"Wellington, Kelburn Aws",9/05/2017,9,-,443,-,-,24,D,,,,
"Auckland, Motat Ews",10/05/2017,9,-,102,-,-,24,D,,,,
"Wellington, Kelburn Aws",10/05/2017,9,-,618,-,-,24,D,,,,
"Auckland, Motat Ews",11/05/2017,9,-,319,-,-,24,D,,,,
"Wellington, Kelburn Aws",11/05/2017,9,-,269,-,-,24,D,,,,
"Auckland, Motat Ews",12/05/2017,9,-,363,-,-,24,D,,,,
"Wellington, Kelburn Aws",12/05/2017,9,-,411,-,-,24,D,,,,
"Auckland, Motat Ews",13/05/2017,9,-,452,-,-,24,D,,,,
"Wellington, Kelburn Aws",13/05/2017,9,-,782,-,-,24,D,,,,
"Auckland, Motat Ews",14/05/2017,9,-,176,-,-,24,D,,,,
"Wellington, Kelburn Aws",14/05/2017,9,-,349,-,-,24,D,,,,
"Auckland, Motat Ews",15/05/2017,9,-,162,-,-,24,D,,,,
"Wellington, Kelburn Aws",15/05/2017,9,-,224,-,-,24,D,,,,
"Auckland, Motat Ews",16/05/2017,9,-,82,-,-,24,D,,,,
"Wellington, Kelburn Aws",16/05/2017,9,-,183,-,-,24,D,,,,
"Auckland, Motat Ews",17/05/2017,9,-,452,-,-,24,D,,,,
"Wellington, Kelburn Aws",17/05/2017,9,-,349,-,-,24,D,,,,
"Auckland, Motat Ews",18/05/2017,9,-,308,-,-,24,D,,,,
"Wellington, Kelburn Aws",18/05/2017,9,-,662,-,-,24,D,,,,
"Auckland, Motat Ews",19/05/2017,9,-,459,-,-,24,D,,,,
"Wellington, Kelburn Aws",19/05/2017,9,-,550,-,-,24,D,,,,
"Auckland, Motat Ews",20/05/2017,9,-,335,-,-,24,D,,,,
"Wellington, Kelburn Aws",20/05/2017,9,-,712,-,-,24,D,,,,
"Auckland, Motat Ews",21/05/2017,9,-,427,-,-,24,D,,,,
"Wellington, Kelburn Aws",21/05/2017,9,-,674,-,-,24,D,,,,
"Auckland, Motat Ews",22/05/2017,9,-,148,-,-,24,D,,,,
"Wellington, Kelburn Aws",22/05/2017,9,-,338,-,-,24,D,,,,
"Auckland, Motat Ews",23/05/2017,9,-,96,-,-,24,D,,,,
"Wellington, Kelburn Aws",23/05/2017,9,-,491,-,-,24,D,,,,
"Auckland, Motat Ews",24/05/2017,9,-,111,-,-,24,D,,,,
"Wellington, Kelburn Aws",24/05/2017,9,-,825,-,-,24,D,,,,
"Auckland, Motat Ews",25/05/2017,9,-,111,-,-,24,D,,,,
"Wellington, Kelburn Aws",25/05/2017,9,-,280,-,-,24,D,,,,
"Auckland, Motat Ews",26/05/2017,9,-,122,-,-,24,D,,,,
"Wellington, Kelburn Aws",26/05/2017,9,-,302,-,-,24,D,,,,
"Auckland, Motat Ews",27/05/2017,9,-,272,-,-,24,D,,,,
"Wellington, Kelburn Aws",27/05/2017,9,-,431,-,-,24,D,,,,
"Auckland, Motat Ews",28/05/2017,9,-,105,-,-,24,D,,,,
"Wellington, Kelburn Aws",28/05/2017,9,-,592,-,-,24,D,,,,
"Auckland, Motat Ews",29/05/2017,9,-,87,-,-,24,D,,,,
"Wellington, Kelburn Aws",29/05/2017,9,-,379,-,-,24,D,,,,
"Auckland, Motat Ews",30/05/2017,9,-,114,-,-,24,D,,,,
"Wellington, Kelburn Aws",30/05/2017,9,-,207,-,-,24,D,,,,
"Auckland, Motat Ews",31/05/2017,9,-,160,-,-,24,D,,,,
"Wellington, Kelburn Aws",31/05/2017,9,-,261,-,-,24,D,,,,
"Auckland, Motat Ews",1/06/2017,9,-,98,-,-,24,D,,,,
"Wellington, Kelburn Aws",1/06/2017,9,-,326,-,-,24,D,,,,
"Auckland, Motat Ews",2/06/2017,9,-,242,-,-,24,D,,,,
"Wellington, Kelburn Aws",2/06/2017,9,-,300,-,-,24,D,,,,
"Auckland, Motat Ews",3/06/2017,9,-,337,-,-,24,D,,,,
"Wellington, Kelburn Aws",3/06/2017,9,-,454,-,-,24,D,,,,
"Auckland, Motat Ews",4/06/2017,9,-,224,-,-,24,D,,,,
"Wellington, Kelburn Aws",4/06/2017,9,-,235,-,-,24,D,,,,
"Auckland, Motat Ews",5/06/2017,9,-,100,-,-,24,D,,,,
"Wellington, Kelburn Aws",5/06/2017,9,-,589,-,-,24,D,,,,
"Auckland, Motat Ews",6/06/2017,9,-,96,-,-,24,D,,,,
"Wellington, Kelburn Aws",6/06/2017,9,-,527,-,-,24,D,,,,
"Auckland, Motat Ews",7/06/2017,9,-,144,-,-,24,D,,,,
"Wellington, Kelburn Aws",7/06/2017,9,-,281,-,-,24,D,,,,
"Auckland, Motat Ews",8/06/2017,9,-,134,-,-,24,D,,,,
"Wellington, Kelburn Aws",8/06/2017,9,-,374,-,-,24,D,,,,
"Auckland, Motat Ews",9/06/2017,9,-,138,-,-,24,D,,,,
"Wellington, Kelburn Aws",9/06/2017,9,-,223,-,-,24,D,,,,
"Auckland, Motat Ews",10/06/2017,9,-,150,-,-,24,D,,,,
"Wellington, Kelburn Aws",10/06/2017,9,-,326,-,-,24,D,,,,
"Auckland, Motat Ews",11/06/2017,9,-,243,-,-,24,D,,,,
"Wellington, Kelburn Aws",11/06/2017,9,-,293,-,-,24,D,,,,
"Auckland, Motat Ews",12/06/2017,9,-,129,-,-,24,D,,,,
"Wellington, Kelburn Aws",12/06/2017,9,-,329,-,-,24,D,,,,
